Digito,Nombre Imagen,P. Cuadrante 1,P. Cuadrante 2,P. Cuadrante 3,P. Cuadrante 4,P. Cuadrante 5,P. Cuadrante 6,P. Cuadrante 7,P. Cuadrante 8,P. Cuadrante 9
4,4_100035.jpg,0.0,0.0667,0.0,0.04,0.0267,0.0222,0.0222,0.0667,0.0844
4,4_100045.jpg,0.0,0.0667,0.0,0.0756,0.1156,0.0178,0.0,0.0667,0.0
4,4_100047.jpg,0.0,0.0667,0.0,0.0,0.0756,0.0,0.0444,0.1378,0.0044
4,4_100075.jpg,0.0,0.0667,0.0,0.0,0.0711,0.0,0.0,0.1378,0.0
4,4_100148.jpg,0.0,0.0667,0.0044,0.0,0.0667,0.0,0.0222,0.1378,0.0
4,4_100162.jpg,0.0,0.0667,0.0,0.0,0.1689,0.0,0.0,0.0667,0.0
4,4_100563.jpg,0.0,0.0711,0.0,0.0,0.1778,0.0,0.0,0.0711,0.0
4,4_100568.jpg,0.0667,0.0089,0.0,0.0889,0.1289,0.0311,0.0,0.0711,0.0
4,4_10057.jpg,0.0222,0.1156,0.0,0.0667,0.1289,0.0356,0.0,0.0667,0.0
4,4_100573.jpg,0.0667,0.0044,0.0,0.04,0.1289,0.0089,0.0,0.0667,0.0
4,4_100583.jpg,0.0,0.0711,0.0,0.0,0.1511,0.0,0.0,0.0667,0.0
4,4_100596.jpg,0.0,0.0933,0.0,0.0,0.1289,0.0,0.0,0.0667,0.0
4,4_100624.jpg,0.0,0.08,0.0,0.0,0.1289,0.0,0.0,0.0756,0.0
4,4_100660.jpg,0.0311,0.0356,0.0044,0.0622,0.0667,0.08,0.0,0.0,0.0667
4,4_100665.jpg,0.0667,0.0133,0.0044,0.0444,0.0933,0.08,0.0,0.0,0.0667
4,4_10070.jpg,0.0489,0.0844,0.0,0.0578,0.1289,0.0356,0.0,0.0667,0.0
4,4_100705.jpg,0.0,0.0667,0.0,0.0,0.1644,0.0,0.0,0.0667,0.0
4,4_100718.jpg,0.0489,0.0178,0.0,0.0578,0.0133,0.0489,0.0,0.0622,0.0667
4,4_10076.jpg,0.0222,0.12,0.0044,0.0667,0.1022,0.0489,0.0489,0.0311,0.0622
4,4_10080.jpg,0.0578,0.1022,0.0,0.0711,0.1289,0.0444,0.0,0.0667,0.0
4,4_100843.jpg,0.0133,0.08,0.0,0.04,0.1289,0.0089,0.0,0.0667,0.0
4,4_10085.jpg,0.0311,0.1022,0.0044,0.0533,0.1289,0.04,0.0,0.04,0.0267
4,4_10088.jpg,0.0222,0.0933,0.0,0.0711,0.1289,0.0578,0.0444,0.0711,0.0133
4,4_101051.jpg,0.0,0.0667,0.0,0.0,0.0844,0.0,0.0267,0.1467,0.0
4,4_101144.jpg,0.0667,0.0,0.0,0.1022,0.1244,0.0889,0.0,0.0667,0.0
4,4_1014.jpg,0.0311,0.0622,0.0,0.0844,0.1289,0.0356,0.0,0.0622,0.0
4,4_101452.jpg,0.0667,0.0,0.0,0.0622,0.0044,0.0356,0.0,0.0711,0.0711
4,4_101457.jpg,0.0578,0.0089,0.0,0.0,0.1422,0.0,0.0,0.0711,0.0
4,4_101474.jpg,0.0667,0.0222,0.0,0.0178,0.1333,0.0089,0.0,0.0622,0.0044
4,4_101479.jpg,0.0667,0.0,0.0133,0.0267,0.0667,0.08,0.0,0.0,0.0667
4,4_101525.jpg,0.0,0.0711,0.0,0.0,0.16,0.0,0.0,0.0844,0.0
4,4_101733.jpg,0.0,0.0667,0.0,0.0,0.1244,0.0,0.0,0.0667,0.0
